Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.8/cv2/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x256x20x20,1x256x20x20
/model.9/cv1/conv/Conv,Conv,13158400,0.27%,336384,0.13%,32896,1.04%,1x256x20x20,1x128x20x20
/model.9/cv1/act/Sigmoid,Sigmoid,1638400,0.03%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.9/cv1/act/Mul,Mul,51200,0.00%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.9/m/MaxPool,MaxPool,1280000,0.03%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.9/m_1/MaxPool,MaxPool,1280000,0.03%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.9/m_2/MaxPool,MaxPool,1280000,0.03%,204800,0.08%,0,0.00%,1x128x20x20,1x128x20x20
/model.9/Concat,Concat,0,0.00%,819200,0.31%,0,0.00%,1x128x20x20,1x512x20x20
/model.9/cv2/conv/Conv,Conv,52531200,1.07%,934912,0.36%,131328,4.17%,1x512x20x20,1x256x20x20
/model.9/cv2/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x256x20x20,1x256x20x20
/model.9/cv2/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x256x20x20,1x256x20x20
/model.10/Constant,Constant,0,0.00%,0,0.00%,0,0.00%,0,4
/model.10/Resize,Resize,0,0.00%,1638400,0.63%,0,0.00%,1x256x20x20,1x256x40x40
/model.11/Concat,Concat,0,0.00%,2457600,0.94%,0,0.00%,1x256x40x40,1x384x40x40
/model.12/cv1/conv/Conv,Conv,78848000,1.61%,1016320,0.39%,49280,1.56%,1x384x40x40,1x128x40x40
/model.12/cv1/act/Sigmoid,Sigmoid,6553600,0.13%,819200,0.31%,0,0.00%,1x128x40x40,1x128x40x40
/model.12/cv1/act/Mul,Mul,204800,0.00%,819200,0.31%,0,0.00%,1x128x40x40,1x128x40x40
/model.12/Split,Split,0,0.00%,819200,0.31%,0,0.00%,1x128x40x40,1x64x40x40
/model.12/m.0/cv1/conv/Conv,Conv,59084800,1.21%,557312,0.21%,36928,1.17%,1x64x40x40,1x64x40x40
/model.12/m.0/cv1/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.12/m.0/cv1/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.12/m.0/cv2/conv/Conv,Conv,59084800,1.21%,557312,0.21%,36928,1.17%,1x64x40x40,1x64x40x40
/model.12/m.0/cv2/act/Sigmoid,Sigmoid,3276800,0.07%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.12/m.0/cv2/act/Mul,Mul,102400,0.00%,409600,0.16%,0,0.00%,1x64x40x40,1x64x40x40
/model.12/Concat,Concat,0,0.00%,1228800,0.47%,0,0.00%,1x64x40x40,1x192x40x40
/model.12/cv2/conv/Conv,Conv,39526400,0.81%,918016,0.35%,24704,0.78%,1x192x40x40,1x128x40x40
/model.12/cv2/act/Sigmoid,Sigmoid,6553600,0.13%,819200,0.31%,0,0.00%,1x128x40x40,1x128x40x40
/model.12/cv2/act/Mul,Mul,204800,0.00%,819200,0.31%,0,0.00%,1x128x40x40,1x128x40x40
